"","V1"
"inaug_GeorgeWashington_1_2",2
"inaug_GeorgeWashington_1_3",2
"inaug_GeorgeWashington_1_4",2
"inaug_GeorgeWashington_1_5",2
"inaug_GeorgeWashington_1_6",2
"inaug_GeorgeWashington_1_7",2
"inaug_GeorgeWashington_1_8",2
"inaug_GeorgeWashington_1_9",2
"inaug_GeorgeWashington_1_10",2
"inaug_GeorgeWashington_1_11",2
"inaug_GeorgeWashington_1_12",5
"inaug_GeorgeWashington_1_13",5
"inaug_GeorgeWashington_1_14",5
"inaug_GeorgeWashington_1_15",2
"inaug_GeorgeWashington_1_16",2
"inaug_GeorgeWashington_1_17",2
"inaug_GeorgeWashington_1_18",2
"inaug_GeorgeWashington_1_19",2
"inaug_GeorgeWashington_1_20",2
"inaug_GeorgeWashington_1_21",2
"inaug_GeorgeWashington_1_22",2
"inaug_GeorgeWashington_1_23",2
"inaug_GeorgeWashington_1_24",2
"inaug_GeorgeWashington_1_25",4
"inaug_GeorgeWashington_1_26",2
"inaug_GeorgeWashington_1_27",5
"inaug_GeorgeWashington_1_28",2
"inaug_GeorgeWashington_1_29",2
"inaug_GeorgeWashington_1_30",2
"inaug_GeorgeWashington_2_2",2
"inaug_GeorgeWashington_2_3",2
"inaug_JohnAdams_1_2",2
"inaug_JohnAdams_1_3",2
"inaug_JohnAdams_1_4",2
"inaug_JohnAdams_1_5",1
"inaug_JohnAdams_1_6",1
"inaug_JohnAdams_1_7",1
"inaug_JohnAdams_1_8",2
"inaug_JohnAdams_1_9",4
"inaug_JohnAdams_1_10",2
"inaug_JohnAdams_1_11",4
"inaug_JohnAdams_1_12",2
"inaug_JohnAdams_1_13",4
"inaug_JohnAdams_1_14",2
"inaug_JohnAdams_1_15",2
"inaug_JohnAdams_1_16",2
"inaug_JohnAdams_1_17",2
"inaug_JohnAdams_1_18",2
"inaug_JohnAdams_1_19",2
"inaug_JohnAdams_1_20",5
"inaug_JohnAdams_1_21",2
"inaug_JohnAdams_1_22",4
"inaug_JohnAdams_1_23",4
"inaug_JohnAdams_1_24",2
"inaug_JohnAdams_1_25",2
"inaug_JohnAdams_1_26",2
"inaug_JohnAdams_1_27",12
"inaug_JohnAdams_1_28",12
"inaug_JohnAdams_1_29",12
"inaug_JohnAdams_1_30",12
"inaug_JohnAdams_1_31",2
"inaug_JohnAdams_1_32",2
"inaug_JohnAdams_1_33",2
"inaug_JohnAdams_1_34",2
"inaug_JohnAdams_1_35",2
"inaug_JohnAdams_1_36",2
"inaug_JohnAdams_1_37",2
"inaug_JohnAdams_1_38",4
"inaug_JohnAdams_1_39",4
"inaug_JohnAdams_1_40",4
"inaug_JohnAdams_1_41",4
"inaug_JohnAdams_1_42",14
"inaug_JohnAdams_1_43",14
"inaug_JohnAdams_1_44",5
"inaug_JohnAdams_1_45",5
"inaug_JohnAdams_1_46",2
"inaug_JohnAdams_1_47",2
"inaug_JohnAdams_1_48",2
"inaug_JohnAdams_1_49",2
"inaug_JohnAdams_1_50",2
"inaug_JohnAdams_1_51",2
"inaug_JohnAdams_1_52",2
"inaug_JohnAdams_1_53",2
"inaug_JohnAdams_1_54",2
"inaug_ThomasJefferson_1_2",2
"inaug_ThomasJefferson_1_3",2
"inaug_ThomasJefferson_1_4",2
"inaug_ThomasJefferson_1_5",2
"inaug_ThomasJefferson_1_6",5
"inaug_ThomasJefferson_1_7",4
"inaug_ThomasJefferson_1_8",14
"inaug_ThomasJefferson_1_9",14
"inaug_ThomasJefferson_1_10",14
"inaug_ThomasJefferson_1_11",14
"inaug_ThomasJefferson_1_12",14
"inaug_ThomasJefferson_1_13",14
"inaug_ThomasJefferson_1_14",12
"inaug_ThomasJefferson_1_15",12
"inaug_ThomasJefferson_1_16",4
"inaug_ThomasJefferson_1_17",4
"inaug_ThomasJefferson_1_18",4
"inaug_ThomasJefferson_1_19",2
"inaug_ThomasJefferson_1_20",2
"inaug_ThomasJefferson_1_21",1
"inaug_ThomasJefferson_1_22",3
"inaug_ThomasJefferson_1_23",12
"inaug_ThomasJefferson_1_24",4
"inaug_ThomasJefferson_1_25",4
"inaug_ThomasJefferson_1_26",4
"inaug_ThomasJefferson_1_27",4
"inaug_ThomasJefferson_1_28",4
"inaug_ThomasJefferson_1_29",2
"inaug_ThomasJefferson_1_30",2
"inaug_ThomasJefferson_1_31",2
"inaug_ThomasJefferson_1_32",2
"inaug_ThomasJefferson_1_33",2
"inaug_ThomasJefferson_1_34",2
"inaug_ThomasJefferson_1_35",2
"inaug_ThomasJefferson_1_36",4
"inaug_ThomasJefferson_1_37",4
"inaug_ThomasJefferson_1_38",4
"inaug_ThomasJefferson_1_39",4
"inaug_ThomasJefferson_1_40",4
"inaug_ThomasJefferson_1_41",4
"inaug_ThomasJefferson_1_42",4
"inaug_ThomasJefferson_1_43",4
"inaug_ThomasJefferson_1_44",4
"inaug_ThomasJefferson_1_45",1
"inaug_ThomasJefferson_1_46",1
"inaug_ThomasJefferson_1_47",1
"inaug_ThomasJefferson_1_48",1
"inaug_ThomasJefferson_1_49",1
"inaug_ThomasJefferson_1_50",5
"inaug_ThomasJefferson_1_51",14
